symbol	Six2-Ar-KO	Sox2-Ar-KO	Sex	FvsM
Slc5a6	-0.1076644774732	0.316661310423774	F	1.12587700726456
Slc5a8	-1.43799691912383	-0.964221840326306	M	-1.38311639538732
Slc6a9	-1.3850939518368	-1.17526771752435	M	-1.52094440578099
Slc7a12	5.03876818861009	4.27817476546608	F	5.49684233347308
Slc7a13	-4.00605483631913	-6.13535276031038	M	-8.01046032673428
Slc7a8	0.15338226598453	0.588324462751211	F	0.556092481250901
Slco1a1	-4.88596416721401	-11.1210382311239	M	-9.81252394586327
Slco3a1	-1.62460730547866	-1.62483297532863	M	-1.60329731308478
Slco4c1	-0.293467000654401	-0.180343196788916	M	-1.26480708473169
Smap1	-0.487743039190487	-0.730410875116145	M	-0.52104898715524
Smcp	-2.48445746682691	-3.31661161009928	M	-2.13251032543746
Smpdl3a	-0.572868954684205	-0.840004989648886	M	-0.822589962004018
Snrpn	-0.612007210003297	-0.408465381354518	M	-0.564559651830563
Spc25	0.410370406685129	0.591874977044886	F	0.62217474732888
Spidr	0.380627861122829	0.292415894998858	F	0.927616527656651
Spp1	1.39563935399353	0.983870998870369	F	1.32933910258426
Spp2	0.371247381291371	0.803463687472107	F	1.16387735893204
Spsb2	-0.726830775412657	-1.12823119588289	M	-0.955804756698927
Srd5a1	-1.01175737039147	-1.33264945871577	M	-0.725923322890248
St3gal2	0.663225900117754	0.547791488258283	F	0.528085211752613
Stab2	0.805984983016674	1.37793986194982	F	1.30916672863261
Steap3	0.419947265750157	-0.0432310152309909	F	0.941086420155974
Stk32b	0.379154506803912	0.589115182812354	F	0.505127833982106
Ston2	0.511696927601366	0.840560121862434	F	1.04458445433547
Stra6	0.956710295172942	1.62893031942155	F	2.236386908153
Sucnr1	-1.33779206958259	-1.68702662012744	M	-1.25773189385162
Syn3	-0.707478896774634	-0.416868773889574	M	-0.881986334507732
Syt14	-0.76412650056543	-0.40754689420208	M	-0.687154267910372
Tanc1	0.393246058920113	0.670431547401196	F	0.574331104439109
Tbx10	-3.26750486428443	-4.35766356148128	M	-4.07959552023631
Tc2n	-2.70092103404869	-2.93071322188989	M	-3.16960823102303
Tcaim	-0.849317725687925	-0.988628176258922	M	-1.05800912891114
Tdrkh	0.679412344580627	0.891360609898908	F	1.08264256286619
Tenm4	1.12878596263617	1.84875113092445	F	2.04536841517556
Tfpi	0.584773786636697	0.112579001499582	F	0.796335630690911
Tgfb2	1.19103543667033	1.32665249218892	F	1.9097178892385
Them7	-1.26197407481048	-1.1363408030942	M	-1.21966765946518
Timd2	-2.39427118659841	-3.7815082878449	M	-3.68388224024042
Tlcd2	-1.1187780043009	-1.64809054759408	M	-1.80929541852844
Tlcd4	-0.918551430166722	-0.896328166381101	M	-0.645256988560604
Tm6sf2	1.20747076115081	1.13772486253885	F	1.50491234458473
Tmco3	-1.25483933696978	-1.11960821165798	M	-0.996828153621233
Tmem120a	-0.394341000708969	-0.66090249112895	M	-0.610725259795592
Tmem176a	-0.426367374922238	-0.775570553130185	M	-0.902259179874401
Tmem178	-0.941591911173858	-1.12812370485986	M	-1.01815954093807
Tmem205	-0.33381851271938	-0.727097280871339	M	-0.838114397325829
Tmem229a	-0.866245648063603	-0.700807939090645	M	-0.542116388003428
Tmem237	-1.11787911780864	-0.966313067316286	M	-0.94128615689861
Tmem26	-1.38641609732797	-0.999629174983904	M	-0.516915416049815
Tmem37	0.837493831102226	0.233129818862327	F	0.854374123694299
Tmem86b	0.515901614964623	0.615881724606037	F	1.13218220044225
Tmem98	0.748272122156461	0.405105499571539	F	0.695927645687369
Tmigd1	-1.38854072694089	-1.35823538788868	M	-1.83614340330911
Tpmt	-0.786496178336018	-0.922192669684802	M	-0.624990866759088
Tppp	0.374919839361652	0.809662805105019	F	1.30462104057938
Treh	-1.16672974380263	-1.544882041265	M	-1.39796372277732
Trf	1.36510973666507	1.74057633181764	F	2.16870649130592
Trib2	-0.848731466936076	-0.31327617582266	M	-1.40924361925279
Trim46	0.681435018626196	0.556999328674636	F	1.31800916400441
Trim47	-0.0326427564245236	-0.234186731107208	M	-0.889533712971108
Trim63	-0.850232684461224	-0.731922085504004	M	-0.972542822967111
Tsku	-0.374950798144724	-0.0840424143136528	M	-1.22500564874213
Tspan7	0.432261969571422	0.595839551628989	F	0.731533906735887
Tst	-0.386490241898114	-0.436704111936507	M	-0.572103127365324
Ttc39c	-1.37937708823411	-1.25051902506292	M	-1.17836840668546
Ttyh2	-0.753800149067792	-0.708449872194532	M	-0.79688126612912
Tulp3	-0.709298881722222	-0.5468584603242	M	-0.713187043113828
Ubiad1	-0.93553480864706	-0.918532883034872	M	-0.969451294753147
Ugt1a2	7.17307218496864	9.58919806379854	F	8.6505828237163
Ugt1a7c	-0.801070699212922	-0.849426448511282	M	-0.78084714672009
Ugt2b34	0.573749945096422	1.26308866594163	F	1.49448420215985
Ugt2b37	-3.57809106235364	-5.93164928681124	M	-6.39182773773143
Ugt2b38	-2.37598841905974	-3.17414317593392	M	-3.37553841793249
Ugt8a	-2.49381307050609	-3.04971756230775	M	-3.18052955592794
Upp2	-1.08869728883867	-0.950141188674909	M	-1.78451330370565
Usp20	-0.717574917466297	-0.752480982832746	M	-0.777762020777259
Usp8	-0.675229336065038	-0.661752087369361	M	-0.610835280978895
Uty	-0.291348200071102	-0.0970813956650137	M	-8.00709272812045
Vill	-1.10753952750994	-1.47534704796496	M	-0.87108721928838
Vps8	-1.21987732261655	-0.989420247861915	M	-1.25788152423822
Vstm5	0.121946743900784	0.390107756910815	F	0.93771673513028
Wdr81	-0.735461038422782	-0.574614204921659	M	-0.814715526409076
Wfdc2	1.09085230156058	0.827009723676773	F	0.855644067369204
Wwp1	-0.894859571925084	-0.867103123132638	M	-1.04976495953122
Xpnpep2	0.281985829631307	0.658560672759162	F	0.593476403930292
Ybx1	-0.555359984195027	-0.831397558890972	M	-0.6916516994447
Zbtb20	-0.812725438664944	-0.22179983621386	M	-0.779544437162372
Zfp385b	0.667617229259847	1.14655270008631	F	1.68839602720634
Zfp937	-0.669059962860571	-0.917773595032565	M	-1.43119005799861
Znrf2	-0.875724002721451	-0.808139693410722	M	-0.654062193684998
ccdc198	0.559445056826961	0.419956411261252	F	0.710544790158634
